state,fiscal_year,value,agency,bureau,program
Alabama,2020,300000,CERF,UNDP,Pillar 1
Alaska,2020,218018,Core,UNDP,Pillar 1
Arizona,2020,431396.22,Not Available,UNDP,Pillar 1
Arkansas,2020,0,Not applicable,UNDP,Pillar 1
California,2020,0,Core,UNDP,Pillar 2
Colorado,2020,71280,Core,UNDP,Pillar 2
Connecticut,2020,0,Not Available,UNDP,Pillar 3
Delaware,2020,12320,Core,UNDP,Pillar 4
District of Columbia,2020,3600,Core,UNDP,Pillar 5
Florida,2020,10000,Core,UNFPA,Pillar 2
Georgia,2020,0,Not Available,FAO,Pillar 3
Hawaii,2020,492000,Not Available,FAO,Pillar 3
Idaho,2020,0,Not Available,UNIDO,Pillar 3
Illinois,2020,0,Not Available,UNIDO,Pillar 3
Indiana,2020,340000,EU,FAO,Pillar 3
Iowa,2020,1300303,EU,FAO,Pillar 3
